Pond,Date,CPOM.Type,CPOM.Core,Z,SedDepth,VialNum,VialMass,VialDryCPOM,VialAM
DP,2016-06-14,O,D,0-1,0,J3,13.2253,13.2291,13.2243
DP,2016-06-14,O,D,1-2,1,J4,13.2112,13.214,13.21
DP,2016-06-14,O,D,2-3,2,J5,13.0918,13.0962,13.0926
DP,2016-06-14,O,D,3-4,3,J6,13.2598,13.2623,13.2589
DP,2016-06-14,O,D,4-6,4,J7,13.3481,13.3723,13.3645
DP,2016-06-14,O,D,6-8,6,J8,13.2372,13.2426,13.2377
DP,2016-06-14,O,D,8-10,8,J9,13.1601,13.1639,13.1602
DP,2016-06-14,O,D,10-12,10,J10,13.3028,13.3041,13.3026
DP,2016-06-14,O,B,0-1,0,I1,13.2461,13.2507,13.2466
DP,2016-06-14,O,B,1-2,1,I2,13.3092,NA,13.3091
DP,2016-06-14,O,B,2-3,2,I3,13.0995,13.1063,13.1009
DP,2016-06-14,O,B,3-4,3,I4,13.1728,13.1731,13.1728
DP,2016-06-14,O,B,4-5,4,I5,13.3631,13.3745,13.365
DP,2016-06-14,O,C,0-1,0,I7,13.1926,13.1978,13.193
DP,2016-06-14,O,C,1-2,1,I8,13.338,13.3395,13.3388
DP,2016-06-14,O,C,2-3,2,I10,13.2514,13.2534,13.2524
DP,2016-06-14,O,C,3-4,3,H1,13.4052,13.4065,13.406
DP,2016-06-14,O,C,4-6,4,H2,13.3825,13.3841,13.3831
DP,2016-06-14,O,C,6-8,6,H3,13.1089,13.114,13.1096
DP,2016-06-14,O,C,8-10,8,H4,13.395,13.3981,13.3961
DP,2016-06-14,O,C,10-12,10,H5,13.1677,13.1882,13.1736
DP,2016-06-22,NL,A,0-1,0,H1,13.4031,13.4151,13.4051
DP,2016-06-22,NL,A,1-2,1,H2,13.3812,13.3953,13.3838
DP,2016-06-22,NL,A,2-3,2,H3,13.1072,13.1138,13.108
DP,2016-06-22,NL,A,3-4,3,H4,13.3931,13.4112,13.4018
DP,2016-06-22,NL,A,4-6,4,H5,13.166,13.1867,13.1716
DP,2016-06-22,NL,A,6-8,6,H6,13.2388,13.26,13.242
DP,2016-06-22,NL,C,0-1,0,H7,13.4426,13.4571,13.4459
DP,2016-06-22,NL,C,1-2,1,H8,13.2264,13.2723,13.2514
DP,2016-06-22,NL,C,2-3,2,H9,13.2584,13.3103,13.2851
DP,2016-06-22,NL,C,3-4,3,H10,13.3292,13.3881,13.3604
DP,2016-06-22,NL,C,4-6,4,I1,13.2455,13.5266,13.4649
DP,2016-06-22,NL,C,6-8,6,I2,13.3091,13.7892,13.7263
