Pond,Date,Site,OM.Type,CrucNum,CrucMass,CrucLeafDM,CrucAM
DP,2016-06-22,B,T,4,27.4891,39.0382,35.3446
DP,2016-06-22,B,T,23,28.8182,43.0678,39.9707
DP,2016-06-22,B,T,9,27.0819,36.2991,32.6726
DP,2016-06-22,B,T,5,30.3827,38.3248,34.8599
DP,2016-06-22,B,T,10,29.7532,40.3923,36.697
DP,2016-06-22,B,T,1,29.7398,34.0907,31.4487
DP,2016-06-22,B,T,12,28.127,32.7203,29.5172
DP,2016-06-22,B,T,21,31.0043,40.5308,37.2808
DP,2016-06-22,B,T,22,26.9363,35.7107,31.7715
DP,2016-06-22,B,T,18,29.4392,35.3911,32.2232
DP,2016-06-22,B,T,8,28.9694,36.1755,30.6493
DP,2016-06-22,B,T,14,28.2206,34.1416,30.289
DP,2016-06-22,B,T,16,28.8753,32.936,31.7976
DP,2016-06-22,B,T,6,31.5179,33.5483,33.5046
