Pond,Site,Date,CrucNum,CrucMass,CrucLeafMass,CrucAshMass,LeafDryMass,AshMass,AFDM,LeafPropOM
LPP,B,2016-07-11,4,27.49,31.8199,28.2539,4.3299,0.763900000000003,3.566,0.823575602207903
LPP,B,2016-07-11,5,30.3834,34.658,31.1895,4.2746,0.806099999999997,3.4685,0.811420951667993
LPP,B,2016-07-11,7,28.2014,32.0216,29.0069,3.8202,0.805500000000002,3.0147,0.789147165069891
LPP,B,2016-07-11,8,28.9698,33.1995,29.87,4.2297,0.900200000000002,3.3295,0.787171667021301
LPP,B,2016-07-11,10,29.7535,34.1784,30.5266,4.4249,0.773099999999999,3.65180000000001,0.825284187213271
LPP,B,2016-07-11,13,29.7296,34.058,30.6305,4.3284,0.9009,3.4275,0.791863044080954
LPP,B,2016-07-11,14,28.2211,32.147,28.8489,3.9259,0.627800000000001,3.2981,0.840087623220153
LPP,B,2016-07-11,16,28.8758,32.8211,29.4933,3.9453,0.6175,3.3278,0.843484652624642
LPP,B,2016-07-11,17,30.5173,34.8318,31.3303,4.3145,0.813000000000002,3.5015,0.811565650712712
LPP,B,2016-07-11,18,28.4395,34.5559,30.375,6.1164,1.9355,4.1809,0.683555686351448
LPP,B,2016-07-11,20,29.1412,34.0488,30.0717,4.9076,0.930499999999999,3.9771,0.810396120303203
LPP,B,2016-07-11,21,31.0051,34.7896,31.7181,3.7845,0.713000000000001,3.0715,0.81159994715286
LPP,B,2016-07-11,22,26.9362,30.9552,27.7027,4.019,0.766500000000001,3.2525,0.809280915650659
LPP,B,2016-07-11,23,28.8192,32.5275,29.585,3.7083,0.765800000000002,2.9425,0.793490278564301
LPP,B,2016-07-11,24,29.4,33.5114,30.105,4.1114,0.705000000000002,3.4064,0.828525563068541
LPP,B,2016-07-11,1,13.1364,14.4639,13.414,1.3275,0.2776,1.0499,0.790885122410547
LPP,B,2016-07-11,2,12.6381,13.9267,12.5426,1.2886,-0.0954999999999995,1.3841,1.07411143877076
LPP,B,2016-07-11,3,13.0677,14.8125,13.4649,1.7448,0.3972,1.3476,0.772352132049519
LPP,B,2016-07-11,4,12.2478,13.6951,12.8499,1.4473,0.6021,0.8452,0.583983970151316
LPP,B,2016-07-11,5,12.9971,14.7055,13.3413,1.7084,0.344200000000001,1.3642,0.798524935612268
LPP,B,2016-07-11,6,11.9924,13.505,12.272,1.5126,0.2796,1.233,0.815152717175724
LPP,B,2016-07-11,7,12.199,13.9722,12.5757,1.7732,0.3767,1.3965,0.78755921497857
LPP,B,2016-07-11,4,27.4875,32.603,28.5902,5.1155,1.1027,4.0128,0.784439448734239
LPP,B,2016-07-11,5,30.3807,35.3172,31.472,4.9365,1.0913,3.8452,0.778932442013572
LPP,B,2016-07-11,7,28.1987,32.7287,29.1238,4.53,0.9251,3.6049,0.795783664459161
LPP,A,2016-07-11,8,28.9676,35.0303,32.1094,6.0627,3.1418,2.9209,0.481782044303693
LPP,A,2016-07-11,10,29.7508,36.4493,33.6306,6.6985,3.8798,2.8187,0.420795700529969
LPP,A,2016-07-11,13,29.7271,33.1966,30.6785,3.4695,0.9514,2.5181,0.725781812941346
LPP,A,2016-07-11,14,28.2197,32.0517,29.9771,3.832,1.7574,2.0746,0.541388308977035
LPP,A,2016-07-11,16,28.8735,31.2261,28.9992,2.3526,0.125699999999998,2.2269,0.94656975261413
LPP,B,2016-07-11,17,30.5133,34.3366,31.284,3.8233,0.770699999999998,3.0526,0.798420212905082
